1,4.00,Individual 2 x 4 Bricks,2
2,10.00,Individual 2 x 2 Bricks,5
3,3.00,Automatic Binding Bricks Small Brick Set (Lego Mursten),6
4,6.00,Individual 1 x 4 x 2 Window (without glass),10
5,6.00,Individual 1 x 2 x 3 Window (without glass),2
6,2.00,Individual 1 x 2 x 2 Window (without glass),8
7,11.00,Individual 1 x 2 x 4 Door (without glass),0
8,7.00,Individual 1 x 2 Bricks,1
9,4.00,Individual 2 x 3 Bricks,7
10,6.00,Early LEGO Windows/Doors (without Glass),7
11,5.00,Automatic Binding Bricks - Small Brick Set (Lego Mursten),5
12,2.00,Individual 2 x 8 Bricks,4
13,10.00,Individual 2 x 10 Bricks,2
14,3.00,Individual 2 x 12 Bricks,9
15,7.00,Individual 2 x 14 Bricks,3
16,7.00,Tall Classic Windows/Door (with Glass),4
17,3.00,Individual 1 x 6 x 4 Panorama Window (with glass),3
18,10.00,Individual 1 x 6 x 3 3-Pane Window (with glass),0
19,4.00,Individual 1 x 6 x 3 Shutter Window (with glass),6
20,3.00,Individual 1 x 4 x 3 Window (with glass),8
21,5.00,Individual 1 x 3 x 3 Window (with glass),2
22,10.00,Individual 1 x 2 x 4 Door (with glass),4
23,6.00,Gift Package (Lego Mursten),7
24,5.00,Gift Package (Lego Mursten),6
25,9.00,Individual 4 x 4 Corner Bricks,0
26,5.00,"LEGO Town Plan Board, Large Plastic",0
27,11.00,Small Store Set,2
28,11.00,Small House Set,10
29,8.00,Small House - Left Set,5
30,3.00,Small House - Right Set,3
31,2.00,Windows and Doors,6
32,4.00,2 x 8 & 2 x 10 Bricks,10
33,3.00,4 x 4 Corner Bricks,0
34,5.00,2 x 4 Bricks,0
35,12.00,2 x 3 Bricks,4
36,12.00,2 x 2 Bricks,8
37,10.00,1 x 2 Bricks,9
38,12.00,1 x 1 Bricks,9
39,8.00,1 x 1 Round Bricks,8
40,5.00,2 x 2 & 2 x 4 Curved Bricks,6
41,4.00,8 Danish Named Beams,3
42,10.00,8 Named Beams,10
43,11.00,1 x 6 and 1 x 8 Bricks,7
44,6.00,Mixed Plates Parts Pack,7
45,7.00,Windows and Door without Glass,6
46,11.00,Garage Plate and Door,10
47,12.00,Garage,1
48,4.00,8 Road Signs,2
49,8.00,8 Road Signs,10
50,4.00,Esso Pumps/Sign,2
51,7.00,Painted Trees and Bushes,5
52,6.00,Lego Mosaik Set (Small),5
53,9.00,Lego Mursten - System i Leg Byggebog,3
54,8.00,"LEGO Town Plan Board, Small Plastic",1
55,2.00,6 x 8 & 2 x 8 Plates,5
56,12.00,4 x 8 & 2 x 8 Plates,3
57,5.00,4 x 8 Curved & 2 x 8 Plates,8
58,8.00,"Windows and Door with Glass, Red",8
59,6.00,"Windows and Door with Glass, White",3
60,9.00,Traffic Police Set,3
61,5.00,ESSO Filling Station,3
62,7.00,2 x 2 & 2 x 4 Curved Bricks,10
63,2.00,Esso Pumps/Sign,5
64,7.00,Garage with Automatic Door (White base and door frame),0
65,11.00,Lego Bausteine - System im Spiel,8
66,4.00,LEGO Town Plan Wooden Board,2
67,12.00,2 x 2 Curved Bricks,6
68,9.00,International Flags,7
69,3.00,5 Danish Flags,1
70,7.00,Lighting Device Pack,6
71,11.00,1:87 Twenty Four Models,6
72,8.00,VW Garage,4
73,3.00,VW Auto Showroom,10
74,10.00,Fire Station,6
75,9.00,Church,5
76,11.00,"LEGO Town Plan Board, Plastic",10
77,5.00,LEGO Town Plan Wooden Board,9
78,10.00,LEGO Town Plan Wooden Board,0
79,12.00,Garage and Van,8
80,2.00,"Sloping Ridge and Valley Bricks, Red",9
81,3.00,"Sloping Ridge and Valley Bricks, Blue",8
82,6.00,Gift Package,6
83,6.00,Gift Package,4
84,6.00,Gift Package,8
85,6.00,Gift Package,3
86,3.00,Gift Package,2
87,11.00,Light Masts,4
88,9.00,Small Store Set,5
89,3.00,Small House Set,5
90,4.00,Small House - Left Set,7
91,3.00,Small House - Right Set,2
92,8.00,"Ten Windows and Doors, Red",7
93,11.00,"Ten Windows and Doors, White",5
94,11.00,2 x 8 Bricks,0
95,5.00,2 x 10 Bricks,0
96,12.00,4 x 4 Corner Bricks,2
97,6.00,2 x 4 Bricks,0
98,2.00,2 x 3 Bricks,2
99,2.00,2 x 2 Bricks,0
100,10.00,1 x 2 Bricks,9
101,10.00,1 x 1 Bricks,5
102,6.00,1 x 1 Round Bricks,5
103,5.00,2 x 2 Curved Bricks,10
104,4.00,1 x 6 and 1 x 8 Bricks,5
105,11.00,8 Named Beams,10
106,3.00,4 x 8 Curved & 2 x 8 Plates,2
107,7.00,4 x 8 & 2 x 8 Plates,6
108,3.00,6 x 8 & 2 x 8 Plates,9
109,8.00,Six Trees and Bushes,6
110,3.00,16 Road Signs,10
111,6.00,Light Masts,10
112,10.00,Letter Bricks,6
113,5.00,Garage Plate and Door (White Base and Door Frame),9
114,8.00,International Flags,1
115,3.00,5 Danish Flags,9
116,10.00,International Flags,7
117,12.00,Lighting Device Pack,2
118,10.00,Traffic Police Set,5
119,8.00,"Sloping Roof Bricks, Red",2
120,11.00,"Sloping Roof Bricks, Blue",3
121,3.00,"2 x 2 Sloping Roof Bricks, Red",4
122,6.00,"2 x 2 Sloping Roof Bricks, Blue",5
123,8.00,VW Garage,9
124,4.00,VW Auto Showroom,2
125,3.00,Fire Station,7
126,4.00,Church,2
127,5.00,ESSO Filling Station,7
128,11.00,Lego Bricks Box,5
129,10.00,"LEGO Town Plan Board, Continental European Cardboard Version",9
130,5.00,"1 x 2 and 3 x 2 Sloping Bricks, Red",0
131,11.00,"1 x 2 and 3 x 2 Sloping Bricks, Blue",2
132,6.00,Volkswagen Kit,7
133,9.00,Number Bricks,9
134,4.00,Lego System Idea Book no. 1,8
135,5.00,Kindergarten LEGO Set,2
136,12.00,"1 x 2 x 4 Glass Door in Frame, Left",3
137,5.00,1 x 6 x 3 Window with Frame,0
138,2.00,1 x 6 x 2 Triple-Pane Window in Frame,0
139,2.00,1 x 6 x 2 Double-Pane Window in Frame w/Shutters,1
140,2.00,1 x 4 x 2 Window in Frame,0
141,7.00,1 x 3 x 2 Window in Frame,1
142,7.00,1 x 2 x 2 Window in Frame,1
143,3.00,1 x 1 x 2 Window Frame,7
144,6.00,1 x 2 x 1 Window Frame,10
145,8.00,1 x 1 x 1 Window Frame,9
146,4.00,Lego System Idea Book (by Samsonite),7
147,9.00,"International Flags - Italy, Switzerland, Belgium, Germany, Netherlands",4
148,8.00,"International Flags - Britain, France, Austria, Portugal, LEGO",8
149,4.00,Airplanes,5
150,7.00,Boats,0
151,12.00,Empty Kindergarten LEGO Box,7
152,2.00,Town Plan - Continental European,8
153,11.00,"LEGO Town Plan Board, UK / Australian Cardboard Version",5
